Wavelength Flux
5802.0576171875 59276.816955566406
5803.3076171875 58648.45170593262
5804.5576171875 58626.7473449707
5805.8076171875 59902.036376953125
5807.0576171875 60366.681900024414
5808.3076171875 60584.51721191406
5809.5576171875 60776.95263671875
5810.8076171875 61006.245697021484
5812.0576171875 60195.638732910156
5813.3076171875 59998.18913269043
5814.5576171875 59948.77978515625
5815.8076171875 59566.82943725586
5817.0576171875 59837.42306518555
5818.3076171875 59854.353744506836
5819.5576171875 60310.80369567871
5820.8076171875 58550.80780029297
5822.0576171875 55910.161682128906
5823.3076171875 54441.79196166992
5824.5576171875 55016.84632873535
5825.8076171875 56209.662033081055
5827.0576171875 56696.53887939453
5828.3076171875 57366.806060791016
5829.5576171875 58833.45098876953
5830.8076171875 59086.06506347656
5832.0576171875 59367.25946044922
5833.3076171875 59750.50080871582
5834.5576171875 59472.012756347656
5835.8076171875 59515.75553894043
5837.0576171875 60385.65934753418
